Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AC,1200013,Acrelândia,,,2,1,3,,,1,4,2,2,1,1,3,2,,,1,5,2,1,4,4,3,7,5,5,5,1
AC,1200054,Assis Brasil,,2,,,,,,,,1,,,1,3,1,,,1,,2,1,2,,1,2,4,8,2,
AC,1200104,Brasiléia,1,,2,1,1,1,,,1,,3,1,3,10,3,6,3,6,6,7,4,7,7,3,8,9,7,7,11
AC,1200138,Bujari,,,1,1,,,,,,2,,1,,,2,2,,2,,1,1,1,1,5,5,2,4,2,8
AC,1200179,Capixaba,,,,,1,1,,,1,2,2,,,2,1,,1,1,2,1,3,2,1,4,3,5,11,2,2
AC,1200203,Cruzeiro do Sul,1,,2,6,3,3,2,1,1,2,7,8,,14,10,10,20,22,17,16,23,10,12,13,23,53,56,30,17
AC,1200252,Epitaciolândia,,,1,,,2,,,,,,5,4,5,4,2,1,1,2,1,7,5,2,3,5,6,4,2,6
AC,1200302,Feijó,1,,1,3,3,1,2,1,1,1,3,3,,3,2,4,6,5,7,10,10,7,5,10,7,16,15,8,14
AC,1200328,Jordão,,,,,,,,,,,,,,,,,,2,,,3,1,2,1,6,2,,1,
AC,1200336,Mâncio Lima,,,,1,,,1,,1,,2,1,1,3,1,3,1,2,1,5,1,3,2,4,2,5,7,7,4
AC,1200344,Manoel Urbano,,,,,,,,,,1,,1,1,1,,,1,4,,2,2,6,3,1,2,4,,3,5
AC,1200351,Marechal Thaumaturgo,,,,,,,,,,,,1,,1,,,4,2,1,2,,2,1,1,2,,,,
AC,1200385,Plácido de Castro,2,3,,5,5,1,1,,2,,3,6,8,5,5,5,3,1,3,4,7,3,3,5,10,5,6,8,4
AC,1200393,Porto Walter,,,,,,,1,,,,,,,,,,,,,,3,,1,,1,2,,2,1
AC,1200401,Rio Branco,97,103,76,80,82,88,96,44,92,102,120,96,82,65,109,95,78,95,99,78,101,134,150,126,236,324,241,189,178
AC,1200427,Rodrigues Alves,,,,,,,,,,,,,1,,,1,1,4,3,,1,1,4,2,,8,2,6,3
AC,1200435,Santa Rosa do Purus,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,,1
AC,1200450,Senador Guiomard,1,1,1,1,1,1,1,,2,3,2,1,4,2,6,2,4,1,4,6,5,10,3,9,10,11,12,6,4
AC,1200500,Sena Madureira,2,2,2,,1,1,1,3,2,2,4,4,2,1,2,1,6,1,9,13,16,17,11,10,7,18,9,11,8
