Sigla,Código,Município,1998
AC,1200013,Acrelândia,-9.8277777778
AC,1200054,Assis Brasil,-10.9413888889
AC,1200104,Brasiléia,-11.0161111111
AC,1200138,Bujari,-9.8305555556
AC,1200179,Capixaba,-10.5727777778
AC,1200203,Cruzeiro do Sul,-7.6311111111
AC,1200252,Epitaciolândia,-11.0288888889
AC,1200302,Feijó,-8.1641666667
AC,1200328,Jordão,-9.4341666667
AC,1200336,Mâncio Lima,-7.6141666667
AC,1200344,Manoel Urbano,-8.8388888889
AC,1200351,Marechal Thaumaturgo,-8.9411111111
AC,1200385,Plácido de Castro,-10.3352777778
AC,1200393,Porto Walter,-8.2686111111
AC,1200401,Rio Branco,-9.9747222222
AC,1200427,Rodrigues Alves,-7.7416666667
AC,1200435,Santa Rosa do Purus,-9.4327777778
AC,1200450,Senador Guiomard,-10.1522222222
AC,1200500,Sena Madureira,-9.0655555556
AC,1200609,Tarauacá,-8.1613888889
AC,1200708,Xapuri,-10.6516666667
AC,1200807,Porto Acre,-9.5883333333
AL,2700102,Água Branca,-9.2608333333
AL,2700201,Anadia,-9.6844444444
AL,2700300,Arapiraca,-9.7525
AL,2700409,Atalaia,-9.5019444444
AL,2700508,Barra de Santo Antônio,-9.4047222222
AL,2700607,Barra de São Miguel,-9.84
AL,2700706,Batalha,-9.6777777778
AL,2700805,Belém,-9.5711111111
AL,2700904,Belo Monte,-9.8283333333
AL,2701001,Boca da Mata,-9.6413888889
AL,2701100,Branquinha,-9.2455555556
AL,2701209,Cacimbinhas,-9.4002777778
AL,2701308,Cajueiro,-9.3966666667
AL,2701357,Campestre,-8.8458333333
AL,2701407,Campo Alegre,-9.7819444444
AL,2701506,Campo Grande,-9.9577777778
AL,2701605,Canapi,-9.1169444444
AL,2701704,Capela,-9.4075
AL,2701803,Carneiros,-9.4825
AL,2701902,Chã Preta,-9.2552777778
AL,2702009,Coité do Nóia,-9.6322222222
AL,2702108,Colônia Leopoldina,-8.9088888889
AL,2702207,Coqueiro Seco,-9.6383333333
AL,2702306,Coruripe,-10.1255555556
