Sigla,Código,Município,1998
AC,1200013,Acrelândia,66.8833333333
AC,1200054,Assis Brasil,69.5669444444
AC,1200104,Brasiléia,68.7480555556
AC,1200138,Bujari,67.9522222222
AC,1200179,Capixaba,67.6755555556
AC,1200203,Cruzeiro do Sul,72.67
AC,1200252,Epitaciolândia,68.7413888889
AC,1200302,Feijó,70.3536111111
AC,1200328,Jordão,71.8838888889
AC,1200336,Mâncio Lima,72.8958333333
AC,1200344,Manoel Urbano,69.2597222222
AC,1200351,Marechal Thaumaturgo,72.7916666667
AC,1200385,Plácido de Castro,67.1855555556
AC,1200393,Porto Walter,72.7438888889
AC,1200401,Rio Branco,67.81
AC,1200427,Rodrigues Alves,72.6361111111
AC,1200435,Santa Rosa do Purus,70.4933333333
AC,1200450,Senador Guiomard,67.7391666667
AC,1200500,Sena Madureira,68.6569444444
AC,1200609,Tarauacá,70.7655555556
AC,1200708,Xapuri,68.5044444444
AC,1200807,Porto Acre,67.5325
AL,2700102,Água Branca,37.9361111111
AL,2700201,Anadia,36.3041666667
AL,2700300,Arapiraca,36.6611111111
AL,2700409,Atalaia,36.0227777778
AL,2700508,Barra de Santo Antônio,35.5072222222
AL,2700607,Barra de São Miguel,35.9077777778
AL,2700706,Batalha,37.1247222222
AL,2700805,Belém,36.4922222222
AL,2700904,Belo Monte,37.28
AL,2701001,Boca da Mata,36.2202777778
AL,2701100,Branquinha,36.0152777778
AL,2701209,Cacimbinhas,36.9902777778
AL,2701308,Cajueiro,36.1536111111
AL,2701357,Campestre,35.5680555556
AL,2701407,Campo Alegre,36.3508333333
AL,2701506,Campo Grande,36.7916666667
AL,2701605,Canapi,37.6022222222
AL,2701704,Capela,36.0736111111
AL,2701803,Carneiros,37.3772222222
AL,2701902,Chã Preta,36.2961111111
AL,2702009,Coité do Nóia,36.5786111111
AL,2702108,Colônia Leopoldina,35.725
AL,2702207,Coqueiro Seco,35.8030555556
AL,2702306,Coruripe,36.1755555556
AL,2702355,Craíbas,36.7680555556
AL,2702405,Delmiro Gouveia,37.9991666667
AL,2702504,Dois Riachos,37.1005555556
AL,2702553,Estrela de Alagoas,36.76
AL,2702603,Feira Grande,36.6775
AL,2702702,Feliz Deserto,36.3061111111
AL,2702801,Flexeiras,35.7808333333
AL,2702900,Girau do Ponciano,36.8288888889
AL,2703007,Ibateguara,35.9394444444
AL,2703106,Igaci,36.6336111111
AL,2703205,Igreja Nova,36.6619444444
AL,2703304,Inhapi,37.7486111111
AL,2703403,Jacaré dos Homens,37.2047222222
AL,2703502,Jacuípe,35.46
AL,2703601,Japaratinga,35.2583333333
AL,2703700,Jaramataia,37.0019444444
AL,2703759,Jequiá da Praia,
